"","alltrial","subid","age","condition","agent","leftObject","rightObject","targetOnTable","pick","target","trial","control","rt","correct","targetObj","age_num"
"266","6","200718_4_inf","2","informativeness","Frog","t11","t1","inner","t11","right","4","false",11536,0,"t1",2.92602739726027
"267","7","200718_4_inf","2","informativeness","Sheep","t3","t10","outer","t10","left","5","true",11211,0,"t3",2.92602739726027
"268","8","200718_4_inf","2","informativeness","Monkey","t17","t6","outer","t17","right","6","false",11016,0,"t6",2.92602739726027
"269","9","200718_4_inf","2","informativeness","Bear","t8","t5","outer","t5","right","7","true",15127,1,"t5",2.92602739726027
"270","10","200718_4_inf","2","informativeness","Beaver","t14","t2","outer","t14","left","8","false",8305,1,"t14",2.92602739726027
"271","1","200718_9_inf","2","informativeness","Elephant","car","bear","inner","car","left","train","false",17952,1,"car",2.77808219178082
"272","2","200718_9_inf","2","informativeness","Pig","duck","ball","outer","ball","right","train","false",13359,1,"ball",2.77808219178082
"273","3","200718_9_inf","2","informativeness","Cat","t9","t2","inner","t9","left","1","true",15179,1,"t9",2.77808219178082
"274","4","200718_9_inf","2","informativeness","Tiger","t3","t16","outer","t16","right","2","false",13315,1,"t16",2.77808219178082
"275","5","200718_9_inf","2","informativeness","Dog","t17","t7","inner","t17","left","3","false",12391,1,"t17",2.77808219178082
"276","6","200718_9_inf","2","informativeness","Beaver","t5","t10","inner","t5","left","4","true",12101,1,"t5",2.77808219178082
"277","7","200718_9_inf","2","informativeness","Sheep","t4","t1","inner","t1","right","5","false",13418,1,"t1",2.77808219178082
"278","8","200718_9_inf","2","informativeness","Elephant","t12","t11","outer","t12","right","6","true",13809,0,"t11",2.77808219178082
"279","9","200718_9_inf","2","informativeness","Frog","t14","t6","inner","t14","left","7","false",13285,1,"t14",2.77808219178082
"280","10","200718_9_inf","2","informativeness","Bear","t8","t15","outer","t8","right","8","true",13948,0,"t15",2.77808219178082
