"","id","alltrial","condition","agent","leftObject","rightObject","targetOnTable","pick","target","trial","control","rt","correct"
"302","anon7_informativeness","6","informativeness","Monkey","t1","t5","inner","t1","left","4","true",10653,1
"303","anon7_informativeness","7","informativeness","Dog","t15","t10","inner","t15","left","5","false",11462,1
"304","anon7_informativeness","8","informativeness","Bear","t7","t2","outer","t7","left","6","true",9580,1
"305","anon8_informativeness","1","informativeness","Elephant","car","bear","inner","car","left","train","false",12718,1
"306","anon8_informativeness","2","informativeness","Pig","duck","ball","outer","ball","right","train","false",17737,1
"307","anon8_informativeness","3","informativeness","Mouse","t4","t15","outer","t4","right","1","true",14196,0
"308","anon8_informativeness","4","informativeness","Monkey","t8","t2","inner","t8","left","2","false",10790,1
"309","anon8_informativeness","5","informativeness","Cat","t7","t16","inner","t16","left","3","true",11108,0
"310","anon8_informativeness","6","informativeness","Dog","t10","t17","outer","t10","right","4","false",11276,0
"311","anon8_informativeness","7","informativeness","Sheep","t11","t1","outer","t11","left","5","true",10724,1
"312","anon8_informativeness","8","informativeness","Bunny","t12","t5","outer","t12","right","6","false",17076,0
"313","anon9_informativeness","1","informativeness","Elephant","car","bear","inner","car","left","train","false",16382,1
"314","anon9_informativeness","2","informativeness","Pig","duck","ball","outer","ball","right","train","false",11623,1
"315","anon9_informativeness","3","informativeness","Mouse","t16","t8","outer","t16","right","1","true",13965,0
"316","anon9_informativeness","4","informativeness","Monkey","t3","t12","inner","t12","right","2","false",11488,1
"317","anon9_informativeness","5","informativeness","Dog","t2","t5","outer","t2","right","3","true",15396,0
"318","anon9_informativeness","6","informativeness","Bear","t10","t4","inner","t10","left","4","false",11157,1
"319","anon9_informativeness","7","informativeness","Frog","t1","t7","outer","t7","left","5","true",11610,0
"320","anon9_informativeness","8","informativeness","Bunny","t11","t17","outer","t11","left","6","false",12588,1
