experiment,id,condition,trial,agent,correct
adult_ex2_novelty,3ba8c35df86f554b7e47c2ef6afd2edf,same_speaker,4,Tiger,1
adult_ex2_novelty,3ba8c35df86f554b7e47c2ef6afd2edf,same_speaker,5,Sheep,1
adult_ex2_novelty,3ba8c35df86f554b7e47c2ef6afd2edf,different_speaker,6,Frog,0
adult_ex2_novelty,3e7c81a5d03b2740644956eac7b11863,same_speaker,1,Sheep,1
adult_ex2_novelty,3e7c81a5d03b2740644956eac7b11863,different_speaker,2,Monkey,1
adult_ex2_novelty,3e7c81a5d03b2740644956eac7b11863,different_speaker,3,Cat,1
adult_ex2_novelty,3e7c81a5d03b2740644956eac7b11863,same_speaker,4,Mouse,0
adult_ex2_novelty,3e7c81a5d03b2740644956eac7b11863,different_speaker,5,Frog,1
adult_ex2_novelty,3e7c81a5d03b2740644956eac7b11863,same_speaker,6,Bear,1
adult_ex2_novelty,3f77eeb8e5b1616b361346d5381aacbd,same_speaker,1,Dog,1
adult_ex2_novelty,3f77eeb8e5b1616b361346d5381aacbd,different_speaker,2,Monkey,1
adult_ex2_novelty,3f77eeb8e5b1616b361346d5381aacbd,different_speaker,3,Bunny,1
adult_ex2_novelty,3f77eeb8e5b1616b361346d5381aacbd,same_speaker,4,Sheep,1
adult_ex2_novelty,3f77eeb8e5b1616b361346d5381aacbd,same_speaker,5,Bear,1
adult_ex2_novelty,3f77eeb8e5b1616b361346d5381aacbd,different_speaker,6,Mouse,0
adult_ex2_novelty,42f77dd44ba3a8165cefadbdc0438acd,same_speaker,1,Dog,1
adult_ex2_novelty,42f77dd44ba3a8165cefadbdc0438acd,different_speaker,2,Bear,1
adult_ex2_novelty,42f77dd44ba3a8165cefadbdc0438acd,different_speaker,3,Bunny,1
adult_ex2_novelty,42f77dd44ba3a8165cefadbdc0438acd,same_speaker,4,Cat,1
adult_ex2_novelty,42f77dd44ba3a8165cefadbdc0438acd,same_speaker,5,Monkey,1
adult_ex2_novelty,42f77dd44ba3a8165cefadbdc0438acd,different_speaker,6,Sheep,1
adult_ex2_novelty,47c1a0455f8a8eb6f3b9075309f5b574,different_speaker,1,Monkey,0
adult_ex2_novelty,47c1a0455f8a8eb6f3b9075309f5b574,same_speaker,2,Tiger,1
adult_ex2_novelty,47c1a0455f8a8eb6f3b9075309f5b574,different_speaker,3,Frog,0
adult_ex2_novelty,47c1a0455f8a8eb6f3b9075309f5b574,same_speaker,4,Mouse,1
adult_ex2_novelty,47c1a0455f8a8eb6f3b9075309f5b574,same_speaker,5,Sheep,1
adult_ex2_novelty,47c1a0455f8a8eb6f3b9075309f5b574,different_speaker,6,Bear,1
adult_ex2_novelty,5d15c2bf0ef285d654bb3e86ce88542a,different_speaker,1,Sheep,1
adult_ex2_novelty,5d15c2bf0ef285d654bb3e86ce88542a,same_speaker,2,Mouse,1
adult_ex2_novelty,5d15c2bf0ef285d654bb3e86ce88542a,different_speaker,3,Bunny,1
adult_ex2_novelty,5d15c2bf0ef285d654bb3e86ce88542a,same_speaker,4,Cat,1
adult_ex2_novelty,5d15c2bf0ef285d654bb3e86ce88542a,different_speaker,5,Bear,1
adult_ex2_novelty,5d15c2bf0ef285d654bb3e86ce88542a,same_speaker,6,Frog,1
adult_ex2_novelty,6a7c53ff73f8d85f881fbcae85d08a32,same_speaker,1,Mouse,1
adult_ex2_novelty,6a7c53ff73f8d85f881fbcae85d08a32,different_speaker,2,Monkey,0
adult_ex2_novelty,6a7c53ff73f8d85f881fbcae85d08a32,different_speaker,3,Bear,1
adult_ex2_novelty,6a7c53ff73f8d85f881fbcae85d08a32,same_speaker,4,Cat,1
adult_ex2_novelty,6a7c53ff73f8d85f881fbcae85d08a32,different_speaker,5,Frog,0
adult_ex2_novelty,6a7c53ff73f8d85f881fbcae85d08a32,same_speaker,6,Bunny,1
adult_ex2_novelty,6dd2f63855fc528adcef048175041f48,different_speaker,1,Bear,0
adult_ex2_novelty,6dd2f63855fc528adcef048175041f48,same_speaker,2,Dog,1
adult_ex2_novelty,6dd2f63855fc528adcef048175041f48,different_speaker,3,Frog,1
adult_ex2_novelty,6dd2f63855fc528adcef048175041f48,same_speaker,4,Tiger,1
adult_ex2_novelty,6dd2f63855fc528adcef048175041f48,same_speaker,5,Monkey,1
adult_ex2_novelty,6dd2f63855fc528adcef048175041f48,different_speaker,6,Bunny,1
adult_ex2_novelty,7d52b1aca870e9546b06b04a4a9fbd9e,same_speaker,1,Monkey,1
adult_ex2_novelty,7d52b1aca870e9546b06b04a4a9fbd9e,different_speaker,2,Dog,1
adult_ex2_novelty,7d52b1aca870e9546b06b04a4a9fbd9e,different_speaker,3,Bunny,1
adult_ex2_novelty,7d52b1aca870e9546b06b04a4a9fbd9e,same_speaker,4,Frog,1
adult_ex2_novelty,7d52b1aca870e9546b06b04a4a9fbd9e,same_speaker,5,Cat,0
adult_ex2_novelty,7d52b1aca870e9546b06b04a4a9fbd9e,different_speaker,6,Bear,1
adult_ex2_novelty,7fd26a78ca245a07c0a6447462809833,same_speaker,1,Cat,1
adult_ex2_novelty,7fd26a78ca245a07c0a6447462809833,different_speaker,2,Frog,0
adult_ex2_novelty,7fd26a78ca245a07c0a6447462809833,same_speaker,3,Dog,1
adult_ex2_novelty,7fd26a78ca245a07c0a6447462809833,different_speaker,4,Sheep,1
adult_ex2_novelty,7fd26a78ca245a07c0a6447462809833,different_speaker,5,Bunny,0
adult_ex2_novelty,7fd26a78ca245a07c0a6447462809833,same_speaker,6,Bear,1
adult_ex2_novelty,8079664d0336c2915f84ced409e48e8c,same_speaker,1,Tiger,1
adult_ex2_novelty,8079664d0336c2915f84ced409e48e8c,different_speaker,2,Frog,1
adult_ex2_novelty,8079664d0336c2915f84ced409e48e8c,same_speaker,3,Mouse,1
adult_ex2_novelty,8079664d0336c2915f84ced409e48e8c,different_speaker,4,Monkey,1
adult_ex2_novelty,8079664d0336c2915f84ced409e48e8c,same_speaker,5,Cat,1
adult_ex2_novelty,8079664d0336c2915f84ced409e48e8c,different_speaker,6,Bear,1
adult_ex2_novelty,8251f30d8b2583c15b8a516f5e004971,same_speaker,1,Cat,1
adult_ex2_novelty,8251f30d8b2583c15b8a516f5e004971,different_speaker,2,Frog,0
adult_ex2_novelty,8251f30d8b2583c15b8a516f5e004971,same_speaker,3,Sheep,1
adult_ex2_novelty,8251f30d8b2583c15b8a516f5e004971,different_speaker,4,Bear,0
