experiment,id,age_bin,age_num,minage,trial,condition,agent,correct
child_ex2,180419_1_pref,3,3.68493150684932,3.052054794520548,1,different_speaker,Beaver,0
child_ex2,180419_1_pref,3,3.68493150684932,3.052054794520548,2,same_speaker,Pig,0
child_ex2,180419_1_pref,3,3.68493150684932,3.052054794520548,3,different_speaker,Dog,1
child_ex2,180419_1_pref,3,3.68493150684932,3.052054794520548,4,same_speaker,Cat,0
child_ex2,180419_1_pref,3,3.68493150684932,3.052054794520548,5,same_speaker,Mouse,0
child_ex2,180419_1_pref,3,3.68493150684932,3.052054794520548,6,different_speaker,Frog,1
child_ex2,180419_1_pref,3,3.68493150684932,3.052054794520548,7,different_speaker,Elephant,0
child_ex2,180419_1_pref,3,3.68493150684932,3.052054794520548,8,same_speaker,Monkey,0
child_ex2,180420_1,3,3.49041095890411,3.052054794520548,1,same_speaker,Beaver,1
child_ex2,180420_1,3,3.49041095890411,3.052054794520548,2,different_speaker,Monkey,1
child_ex2,180420_1,3,3.49041095890411,3.052054794520548,3,different_speaker,Dog,1
child_ex2,180420_1,3,3.49041095890411,3.052054794520548,4,same_speaker,Sheep,1
child_ex2,180420_1,3,3.49041095890411,3.052054794520548,5,same_speaker,Cat,1
child_ex2,180420_1,3,3.49041095890411,3.052054794520548,6,different_speaker,Tiger,0
child_ex2,180420_1,3,3.49041095890411,3.052054794520548,7,different_speaker,Bear,0
child_ex2,180420_1,3,3.49041095890411,3.052054794520548,8,same_speaker,Pig,1
child_ex2,180420_2_pref,4,4.53972602739726,3.052054794520548,1,same_speaker,Frog,0
child_ex2,180420_2_pref,4,4.53972602739726,3.052054794520548,2,different_speaker,Sheep,1
child_ex2,180420_2_pref,4,4.53972602739726,3.052054794520548,3,different_speaker,Cat,1
child_ex2,180420_2_pref,4,4.53972602739726,3.052054794520548,4,same_speaker,Beaver,1
child_ex2,180420_2_pref,4,4.53972602739726,3.052054794520548,5,same_speaker,Mouse,1
child_ex2,180420_2_pref,4,4.53972602739726,3.052054794520548,6,different_speaker,Bear,0
child_ex2,180420_2_pref,4,4.53972602739726,3.052054794520548,7,same_speaker,Dog,1
child_ex2,180420_2_pref,4,4.53972602739726,3.052054794520548,8,different_speaker,Bunny,0
child_ex2,180420_3_pref,3,3.57808219178082,3.052054794520548,1,different_speaker,Pig,0
child_ex2,180420_3_pref,3,3.57808219178082,3.052054794520548,2,same_speaker,Beaver,1
child_ex2,180420_3_pref,3,3.57808219178082,3.052054794520548,3,different_speaker,Monkey,0
child_ex2,180420_3_pref,3,3.57808219178082,3.052054794520548,4,same_speaker,Bunny,0
child_ex2,180420_3_pref,3,3.57808219178082,3.052054794520548,5,different_speaker,Bear,0
child_ex2,180420_3_pref,3,3.57808219178082,3.052054794520548,6,same_speaker,Tiger,0
child_ex2,180420_3_pref,3,3.57808219178082,3.052054794520548,7,different_speaker,Mouse,0
child_ex2,180420_3_pref,3,3.57808219178082,3.052054794520548,8,same_speaker,Sheep,1
child_ex2,180420_4_pref,4,4.12328767123288,3.052054794520548,1,same_speaker,Monkey,0
child_ex2,180420_4_pref,4,4.12328767123288,3.052054794520548,2,different_speaker,Elephant,1
child_ex2,180420_4_pref,4,4.12328767123288,3.052054794520548,3,different_speaker,Bunny,1
child_ex2,180420_4_pref,4,4.12328767123288,3.052054794520548,4,same_speaker,Sheep,0
child_ex2,180420_4_pref,4,4.12328767123288,3.052054794520548,5,different_speaker,Mouse,0
child_ex2,180420_4_pref,4,4.12328767123288,3.052054794520548,6,same_speaker,Cat,1
child_ex2,180420_4_pref,4,4.12328767123288,3.052054794520548,7,same_speaker,Frog,0
child_ex2,180420_4_pref,4,4.12328767123288,3.052054794520548,8,different_speaker,Dog,1
child_ex2,180425_1_pref,3,3.91232876712329,3.052054794520548,1,different_speaker,Bunny,1
child_ex2,180425_1_pref,3,3.91232876712329,3.052054794520548,2,same_speaker,Frog,0
child_ex2,180425_1_pref,3,3.91232876712329,3.052054794520548,3,same_speaker,Mouse,0
child_ex2,180425_1_pref,3,3.91232876712329,3.052054794520548,4,different_speaker,Dog,0
child_ex2,180425_1_pref,3,3.91232876712329,3.052054794520548,5,different_speaker,Bear,1
child_ex2,180425_1_pref,3,3.91232876712329,3.052054794520548,6,same_speaker,Sheep,0
child_ex2,180425_1_pref,3,3.91232876712329,3.052054794520548,7,different_speaker,Pig,0
child_ex2,180425_1_pref,3,3.91232876712329,3.052054794520548,8,same_speaker,Elephant,0
child_ex2,180425_2_pref,4,4.12328767123288,3.052054794520548,1,same_speaker,Bunny,0
child_ex2,180425_2_pref,4,4.12328767123288,3.052054794520548,2,different_speaker,Mouse,0
child_ex2,180425_2_pref,4,4.12328767123288,3.052054794520548,3,same_speaker,Beaver,1
child_ex2,180425_2_pref,4,4.12328767123288,3.052054794520548,4,different_speaker,Bear,0
child_ex2,180425_2_pref,4,4.12328767123288,3.052054794520548,5,same_speaker,Sheep,1
child_ex2,180425_2_pref,4,4.12328767123288,3.052054794520548,6,different_speaker,Pig,1
child_ex2,180425_2_pref,4,4.12328767123288,3.052054794520548,7,different_speaker,Frog,0
child_ex2,180425_2_pref,4,4.12328767123288,3.052054794520548,8,same_speaker,Dog,1
child_ex2,180425_3_pref,4,4.98904109589041,3.052054794520548,1,different_speaker,Bear,0
child_ex2,180425_3_pref,4,4.98904109589041,3.052054794520548,2,same_speaker,Mouse,1
child_ex2,180425_3_pref,4,4.98904109589041,3.052054794520548,3,same_speaker,Sheep,1
child_ex2,180425_3_pref,4,4.98904109589041,3.052054794520548,4,different_speaker,Monkey,0
