"","id","alltrial","condition","agent","altAgent","leftObject","rightObject","pick","target","trial","change","rt","correct"
"1","134ad4c87ef5b3ddfa2fb595033dc5cb","1","preference","Elephant","Frog","car","bear","car","left","train","false",13316,1
"2","134ad4c87ef5b3ddfa2fb595033dc5cb","2","preference","Pig","Frog","duck","ball","ball","right","train","false",10427,1
"3","134ad4c87ef5b3ddfa2fb595033dc5cb","3","preference","Tiger","Frog","t12","t17","t12","right","1","true",11246,0
"4","134ad4c87ef5b3ddfa2fb595033dc5cb","4","preference","Mouse","Bunny","t8","t5","t8","left","2","false",11239,1
"5","134ad4c87ef5b3ddfa2fb595033dc5cb","5","preference","Dog","Bunny","t2","t10","t10","right","3","false",8490,1
"6","134ad4c87ef5b3ddfa2fb595033dc5cb","6","preference","Cat","Bunny","t18","t6","t6","right","4","true",7456,1
"7","134ad4c87ef5b3ddfa2fb595033dc5cb","7","preference","Pig","Elephant","t3","t7","t3","left","5","false",7228,1
"8","134ad4c87ef5b3ddfa2fb595033dc5cb","8","preference","Monkey","Elephant","t1","t4","t4","left","6","true",7306,0
"9","134ad4c87ef5b3ddfa2fb595033dc5cb","9","preference","Bear","Sheep","t13","t9","t9","left","7","true",7047,0
"10","134ad4c87ef5b3ddfa2fb595033dc5cb","10","preference","Beaver",NA,"t15","t14","t15","right","8","false",7902,0
"11","15491ca7532166dcba59ac5416b052b4","1","preference","Elephant","Frog","car","bear","bear","left","train","false",7273,0
"12","15491ca7532166dcba59ac5416b052b4","2","preference","Pig","Frog","duck","ball","ball","right","train","false",7802,1
"13","15491ca7532166dcba59ac5416b052b4","3","preference","Pig","Frog","t14","t3","t3","right","1","false",7019,1
"14","15491ca7532166dcba59ac5416b052b4","4","preference","Dog","Frog","t2","t4","t4","right","2","true",8349,1
"15","15491ca7532166dcba59ac5416b052b4","5","preference","Bear","Cat","t15","t18","t15","right","3","false",11314,0
"16","15491ca7532166dcba59ac5416b052b4","6","preference","Tiger","Cat","t11","t9","t11","left","4","true",7471,1
"17","15491ca7532166dcba59ac5416b052b4","7","preference","Bunny","Sheep","t12","t13","t12","right","5","false",8125,0
"18","15491ca7532166dcba59ac5416b052b4","8","preference","Monkey","Sheep","t10","t6","t6","left","6","true",8734,0
"19","15491ca7532166dcba59ac5416b052b4","9","preference","Elephant","Beaver","t8","t7","t7","left","7","true",11465,0
"20","15491ca7532166dcba59ac5416b052b4","10","preference","Mouse",NA,"t5","t1","t1","left","8","false",7678,0
"21","1ba5ab9be7466c50625a6768b9876db0","1","preference","Elephant","Elephant","car","bear","car","left","train","false",10803,1
"22","1ba5ab9be7466c50625a6768b9876db0","2","preference","Pig","Elephant","duck","ball","ball","right","train","false",10732,1
"23","1ba5ab9be7466c50625a6768b9876db0","3","preference","Dog","Elephant","t15","t18","t18","right","1","false",12930,1
"24","1ba5ab9be7466c50625a6768b9876db0","4","preference","Frog","Elephant","t9","t16","t9","right","2","true",11039,0
"25","1ba5ab9be7466c50625a6768b9876db0","5","preference","Sheep","Beaver","t2","t6","t6","right","3","true",10885,1
"26","1ba5ab9be7466c50625a6768b9876db0","6","preference","Bunny","Monkey","t11","t5","t11","left","4","false",10786,1
"27","1ba5ab9be7466c50625a6768b9876db0","7","preference","Cat","Monkey","t13","t3","t13","left","5","true",10793,1
"28","1ba5ab9be7466c50625a6768b9876db0","8","preference","Pig","Mouse","t17","t7","t17","left","6","false",10503,1
"29","1ba5ab9be7466c50625a6768b9876db0","9","preference","Bear","Mouse","t8","t12","t8","left","7","false",9995,1
"30","1ba5ab9be7466c50625a6768b9876db0","10","preference","Tiger","Mouse","t14","t1","t14","right","8","true",7552,0
