experiment,id,condition,trial,agent,correct
adult_ex2_preference,418112c2026aee5e579fdc4c71930f7d,same_speaker,5,Bear,1
adult_ex2_preference,418112c2026aee5e579fdc4c71930f7d,different_speaker,6,Cat,1
adult_ex2_preference,5d845625f08abef24580ada7f3391b1d,same_speaker,1,Mouse,1
adult_ex2_preference,5d845625f08abef24580ada7f3391b1d,different_speaker,2,Sheep,1
adult_ex2_preference,5d845625f08abef24580ada7f3391b1d,different_speaker,3,Tiger,0
adult_ex2_preference,5d845625f08abef24580ada7f3391b1d,same_speaker,4,Dog,1
adult_ex2_preference,5d845625f08abef24580ada7f3391b1d,same_speaker,5,Monkey,1
adult_ex2_preference,5d845625f08abef24580ada7f3391b1d,different_speaker,6,Cat,1
adult_ex2_preference,6dd2f63855fc528adcef048175041f48,different_speaker,1,Sheep,1
adult_ex2_preference,6dd2f63855fc528adcef048175041f48,same_speaker,2,Monkey,1
adult_ex2_preference,6dd2f63855fc528adcef048175041f48,different_speaker,3,Tiger,1
adult_ex2_preference,6dd2f63855fc528adcef048175041f48,same_speaker,4,Mouse,1
adult_ex2_preference,6dd2f63855fc528adcef048175041f48,different_speaker,5,Cat,1
adult_ex2_preference,6dd2f63855fc528adcef048175041f48,same_speaker,6,Bear,1
adult_ex2_preference,7254116d8279332590b0791251565760,same_speaker,1,Bunny,1
adult_ex2_preference,7254116d8279332590b0791251565760,different_speaker,2,Cat,1
adult_ex2_preference,7254116d8279332590b0791251565760,same_speaker,3,Monkey,1
adult_ex2_preference,7254116d8279332590b0791251565760,different_speaker,4,Sheep,0
adult_ex2_preference,7254116d8279332590b0791251565760,same_speaker,5,Mouse,1
adult_ex2_preference,7254116d8279332590b0791251565760,different_speaker,6,Bear,1
adult_ex2_preference,72af32bf19955ae20ec87d515ae3e741,same_speaker,1,Mouse,1
adult_ex2_preference,72af32bf19955ae20ec87d515ae3e741,different_speaker,2,Sheep,0
