"","alltrial","subid","age","condition","agent","altAgent","leftObject","rightObject","pick","target","trial","change","rt","correct","targetObj","age_num"
"311","1","180914_13_nov","4","novelty new","Elephant","Monkey","car","bear","car","left","train","false",12146,1,"car",4.27945205479452
"312","2","180914_13_nov","4","novelty new","Pig","Monkey","duck","ball","ball","right","train","false",11429,1,"ball",4.27945205479452
"313","3","180914_13_nov","4","novelty new","Bunny","Monkey","t5","t1","t5","left","1","true",16252,1,"t5",4.27945205479452
"314","4","180914_13_nov","4","novelty new","Cat","Mouse","t17","t10","t17","left","2","false",12537,1,"t17",4.27945205479452
"315","5","180914_13_nov","4","novelty new","Beaver","Mouse","t8","t16","t16","right","3","true",16415,1,"t16",4.27945205479452
"316","6","180914_13_nov","4","novelty new","Sheep","Elephant","t15","t2","t15","right","4","false",11970,0,"t2",4.27945205479452
"317","7","180914_13_nov","4","novelty new","Tiger","Elephant","t3","t9","t9","right","5","true",17582,1,"t9",4.27945205479452
"318","8","180914_13_nov","4","novelty new","Pig","Frog","t7","t6","t7","right","6","false",14837,0,"t6",4.27945205479452
"319","9","180914_13_nov","4","novelty new","Dog","Frog","t4","t11","t11","left","7","true",15226,0,"t4",4.27945205479452
"320","10","180914_13_nov","4","novelty new","Bear",NA,"t14","t12","t14","left","8","false",12677,1,"t14",4.27945205479452
"321","1","180914_14_nov","2","novelty new","Elephant","Bunny","car","bear","car","left","train","false",14305,1,"car",2.72602739726027
"322","2","180914_14_nov","2","novelty new","Pig","Bunny","duck","ball","ball","right","train","false",9699,1,"ball",2.72602739726027
"323","3","180914_14_nov","2","novelty new","Tiger","Bunny","t11","t10","t10","right","1","true",14953,1,"t10",2.72602739726027
"324","4","180914_14_nov","2","novelty new","Frog","Monkey","t7","t16","t16","right","2","false",14613,1,"t16",2.72602739726027
"325","5","180914_14_nov","2","novelty new","Cat","Monkey","t3","t9","t9","right","3","true",13960,1,"t9",2.72602739726027
"326","6","180914_14_nov","2","novelty new","Beaver","Bear","t1","t15","t1","left","4","false",12106,1,"t1",2.72602739726027
"327","7","180914_14_nov","2","novelty new","Sheep","Bear","t14","t8","t14","left","5","true",13348,1,"t14",2.72602739726027
"328","8","180914_14_nov","2","novelty new","Pig","Elephant","t4","t5","t5","left","6","false",15148,0,"t4",2.72602739726027
"329","9","180914_14_nov","2","novelty new","Dog","Elephant","t6","t17","t6","left","7","false",8685,1,"t6",2.72602739726027
"330","10","180914_14_nov","2","novelty new","Mouse","Elephant","t2","t12","t12","right","8","true",9772,1,"t12",2.72602739726027
"331","1","180914_4_nov","4","novelty new","Elephant","Mouse","car","bear","car","left","train","false",12283,1,"car",4.25205479452055
"332","2","180914_4_nov","4","novelty new","Pig","Mouse","duck","ball","ball","right","train","false",8477,1,"ball",4.25205479452055
"333","3","180914_4_nov","4","novelty new","Beaver","Mouse","t12","t3","t3","left","1","false",18527,0,"t12",4.25205479452055
"334","4","180914_4_nov","4","novelty new","Monkey","Mouse","t9","t17","t17","right","2","true",19140,1,"t17",4.25205479452055
"335","5","180914_4_nov","4","novelty new","Dog","Pig","t15","t11","t11","right","3","true",8673,1,"t11",4.25205479452055
"336","6","180914_4_nov","4","novelty new","Bunny","Sheep","t16","t10","t10","right","4","false",8282,1,"t10",4.25205479452055
"337","7","180914_4_nov","4","novelty new","Bear","Sheep","t7","t4","t7","left","5","false",14788,1,"t7",4.25205479452055
"338","8","180914_4_nov","4","novelty new","Cat","Sheep","t6","t5","t5","right","6","true",8266,1,"t5",4.25205479452055
"339","9","180914_4_nov","4","novelty new","Frog","Elephant","t2","t14","t14","left","7","true",9883,0,"t2",4.25205479452055
"340","10","180914_4_nov","4","novelty new","Tiger",NA,"t8","t1","t1","left","8","false",11583,0,"t8",4.25205479452055
"341","1","180914_6_nov","2","novelty new","Elephant","Bunny","car","bear","car","left","train","false",15448,1,"car",2.93424657534247
"342","2","180914_6_nov","2","novelty new","Pig","Bunny","duck","ball","ball","right","train","false",8394,1,"ball",2.93424657534247
"343","3","180914_6_nov","2","novelty new","Beaver","Bunny","t2","t12","t12","right","1","false",12207,1,"t12",2.93424657534247
"344","4","180914_6_nov","2","novelty new","Sheep","Bunny","t6","t4","t6","left","2","true",16331,1,"t6",2.93424657534247
"345","5","180914_6_nov","2","novelty new","Mouse","Dog","t15","t10","t10","right","3","true",11603,1,"t10",2.93424657534247
"346","6","180914_6_nov","2","novelty new","Cat","Pig","t7","t17","t7","left","4","false",9360,1,"t7",2.93424657534247
"347","7","180914_6_nov","2","novelty new","Monkey","Pig","t14","t1","t1","right","5","true",13575,1,"t1",2.93424657534247
"348","8","180914_6_nov","2","novelty new","Frog","Tiger","t5","t8","t8","left","6","false",9176,0,"t5",2.93424657534247
"349","9","180914_6_nov","2","novelty new","Bear","Tiger","t16","t9","t9","left","7","true",9160,0,"t16",2.93424657534247
"350","10","180914_6_nov","2","novelty new","Elephant",NA,"t11","t3","t3","right","8","false",8235,1,"t3",2.93424657534247
"351","1","180914_7_nov","4","novelty new","Elephant","Monkey","car","bear","car","left","train","false",11928,1,"car",4.79178082191781
"352","2","180914_7_nov","4","novelty new","Pig","Monkey","duck","ball","ball","right","train","false",13384,1,"ball",4.79178082191781
"353","3","180914_7_nov","4","novelty new","Pig","Monkey","t12","t5","t12","right","1","false",18919,0,"t5",4.79178082191781
"354","4","180914_7_nov","4","novelty new","Frog","Monkey","t11","t1","t11","left","2","true",13119,1,"t11",4.79178082191781
"355","5","180914_7_nov","4","novelty new","Elephant","Cat","t7","t16","t16","right","3","false",15365,1,"t16",4.79178082191781
"356","6","180914_7_nov","4","novelty new","Mouse","Cat","t10","t3","t3","right","4","true",16283,1,"t3",4.79178082191781
"357","7","180914_7_nov","4","novelty new","Sheep","Bunny","t9","t6","t6","left","5","false",15940,0,"t9",4.79178082191781
"358","8","180914_7_nov","4","novelty new","Beaver","Bunny","t4","t15","t15","left","6","true",13955,0,"t4",4.79178082191781
"359","9","180914_7_nov","4","novelty new","Bear","Tiger","t8","t2","t2","left","7","false",13074,0,"t8",4.79178082191781
"360","10","180914_7_nov","4","novelty new","Dog","Tiger","t17","t14","t14","right","8","true",19673,1,"t14",4.79178082191781
"361","1","180914_8_nov","3","novelty new","Elephant","Dog","car","bear","car","left","train","false",12548,1,"car",3.68493150684932
"362","2","180914_8_nov","3","novelty new","Pig","Dog","duck","ball","ball","right","train","false",10502,1,"ball",3.68493150684932
"363","3","180914_8_nov","3","novelty new","Bear","Dog","t14","t10","t10","right","1","false",15832,1,"t10",3.68493150684932
"364","4","180914_8_nov","3","novelty new","Tiger","Dog","t2","t16","t2","left","2","true",12350,1,"t2",3.68493150684932
"365","5","180914_8_nov","3","novelty new","Cat","Elephant","t4","t15","t15","right","3","false",8352,1,"t15",3.68493150684932
"366","6","180914_8_nov","3","novelty new","Monkey","Elephant","t8","t17","t17","right","4","true",12239,1,"t17",3.68493150684932
"367","7","180914_8_nov","3","novelty new","Beaver","Bunny","t5","t6","t5","left","5","true",9568,1,"t5",3.68493150684932
"368","8","180914_8_nov","3","novelty new","Mouse","Pig","t11","t1","t11","right","6","false",8796,0,"t1",3.68493150684932
"369","9","180914_8_nov","3","novelty new","Frog","Pig","t3","t12","t3","left","7","false",10671,1,"t3",3.68493150684932
"370","10","180914_8_nov","3","novelty new","Sheep","Pig","t7","t9","t9","left","8","true",12529,0,"t7",3.68493150684932
"371","1","180918_1_nov","2","novelty new","Elephant","Elephant","car","bear","car","left","train","false",11122,1,"car",2.47397260273973
"372","2","180918_1_nov","2","novelty new","Pig","Elephant","duck","ball","ball","right","train","false",8141,1,"ball",2.47397260273973
"373","3","180918_1_nov","2","novelty new","Sheep","Elephant","t17","t16","t17","left","1","true",13142,1,"t17",2.47397260273973
"374","4","180918_1_nov","2","novelty new","Pig","Monkey","t15","t1","t15","left","2","false",9298,1,"t15",2.47397260273973
"375","5","180918_1_nov","2","novelty new","Tiger","Monkey","t10","t6","t6","right","3","true",11097,1,"t6",2.47397260273973
"376","6","180918_1_nov","2","novelty new","Dog","Cat","t7","t5","t7","left","4","false",10659,1,"t7",2.47397260273973
"377","7","180918_1_nov","2","novelty new","Bunny","Cat","t8","t14","t8","right","5","false",10636,0,"t14",2.47397260273973
"378","8","180918_1_nov","2","novelty new","Beaver","Cat","t4","t2","t2","left","6","true",35723,0,"t4",2.47397260273973
"379","9","180918_1_nov","2","novelty new","Mouse","Frog","t12","t11","t11","right","7","false",12202,1,"t11",2.47397260273973
"380","10","180918_1_nov","2","novelty new","Bear","Frog","t3","t9","t9","right","8","true",12058,1,"t9",2.47397260273973
"381","1","180918_2_nov","2","novelty new","Elephant","Frog","car","bear","car","left","train","false",11886,1,"car",2.57534246575342
"382","2","180918_2_nov","2","novelty new","Pig","Frog","duck","ball","ball","right","train","false",8784,1,"ball",2.57534246575342
"383","3","180918_2_nov","2","novelty new","Sheep","Frog","t2","t16","t16","left","1","false",10961,0,"t2",2.57534246575342
"384","4","180918_2_nov","2","novelty new","Mouse","Frog","t4","t12","t12","right","2","true",12539,1,"t12",2.57534246575342
"385","5","180918_2_nov","2","novelty new","Dog","Monkey","t17","t11","t11","right","3","true",9689,1,"t11",2.57534246575342
"386","6","180918_2_nov","2","novelty new","Cat","Pig","t1","t8","t8","left","4","false",8076,0,"t1",2.57534246575342
"387","7","180918_2_nov","2","novelty new","Bunny","Pig","t9","t3","t3","left","5","true",11930,0,"t9",2.57534246575342
"388","8","180918_2_nov","2","novelty new","Bear","Elephant","t5","t15","t15","right","6","false",11140,1,"t15",2.57534246575342
"389","9","180918_2_nov","2","novelty new","Tiger","Elephant","t7","t14","t14","right","7","true",14600,1,"t14",2.57534246575342
"390","10","180918_2_nov","2","novelty new","Beaver",NA,"t6","t10","t10","left","8","false",8114,0,"t6",2.57534246575342
"391","1","180921_1_nov","4","novelty new","Elephant","Tiger","car","bear","car","left","train","false",13195,1,"car",4.58356164383562
"392","2","180921_1_nov","4","novelty new","Pig","Tiger","duck","ball","ball","right","train","false",10136,1,"ball",4.58356164383562
"393","3","180921_1_nov","4","novelty new","Bear","Tiger","t1","t9","t1","right","1","false",14062,0,"t9",4.58356164383562
"394","4","180921_1_nov","4","novelty new","Sheep","Tiger","t12","t16","t12","left","2","true",17252,1,"t12",4.58356164383562
"395","5","180921_1_nov","4","novelty new","Elephant","Cat","t4","t3","t4","left","3","true",16022,1,"t4",4.58356164383562
"396","6","180921_1_nov","4","novelty new","Pig","Frog","t11","t5","t5","right","4","false",13153,1,"t5",4.58356164383562
"397","7","180921_1_nov","4","novelty new","Beaver","Frog","t14","t6","t6","left","5","false",12120,0,"t14",4.58356164383562
"398","8","180921_1_nov","4","novelty new","Mouse","Frog","t8","t2","t2","right","6","true",12923,1,"t2",4.58356164383562
"399","9","180921_1_nov","4","novelty new","Monkey","Dog","t17","t7","t17","left","7","false",12099,1,"t17",4.58356164383562
"400","10","180921_1_nov","4","novelty new","Bunny","Dog","t15","t10","t10","right","8","true",12741,1,"t10",4.58356164383562
"401","1","180921_2_nov","2","novelty new","Elephant","Dog","car","bear","car","left","train","false",14827,1,"car",2.41917808219178
"402","2","180921_2_nov","2","novelty new","Pig","Dog","duck","ball","ball","right","train","false",10643,1,"ball",2.41917808219178
"403","3","180921_2_nov","2","novelty new","Beaver","Dog","t14","t6","t6","right","1","true",11646,1,"t6",2.41917808219178
"404","4","180921_2_nov","2","novelty new","Sheep","Monkey","t5","t11","t11","right","2","false",8755,1,"t11",2.41917808219178
"405","5","180921_2_nov","2","novelty new","Frog","Monkey","t15","t7","t7","right","3","true",8394,1,"t7",2.41917808219178
"406","6","180921_2_nov","2","novelty new","Bunny","Bear","t4","t8","t8","right","4","false",8539,1,"t8",2.41917808219178
"407","7","180921_2_nov","2","novelty new","Tiger","Bear","t9","t16","t9","left","5","false",10064,1,"t9",2.41917808219178
"408","8","180921_2_nov","2","novelty new","Pig","Bear","t12","t17","t12","left","6","true",11728,1,"t12",2.41917808219178
"409","9","180921_2_nov","2","novelty new","Elephant","Cat","t3","t10","t3","left","7","false",8186,1,"t3",2.41917808219178
"410","10","180921_2_nov","2","novelty new","Mouse","Cat","t1","t2","t2","left","8","true",8630,0,"t1",2.41917808219178
"411","1","180921_3_nov","4","novelty new","Elephant","Sheep","car","bear","car","left","train","false",10993,1,"car",4.46027397260274
"412","2","180921_3_nov","4","novelty new","Pig","Sheep","duck","ball","ball","right","train","false",8144,1,"ball",4.46027397260274
"413","3","180921_3_nov","4","novelty new","Elephant","Sheep","t3","t9","t3","left","1","false",16769,1,"t3",4.46027397260274
"414","4","180921_3_nov","4","novelty new","Mouse","Sheep","t10","t16","t16","right","2","true",8105,1,"t16",4.46027397260274
"415","5","180921_3_nov","4","novelty new","Bear","Frog","t4","t12","t12","right","3","true",11243,1,"t12",4.46027397260274
"416","6","180921_3_nov","4","novelty new","Dog","Beaver","t14","t7","t14","left","4","false",8363,1,"t14",4.46027397260274
"417","7","180921_3_nov","4","novelty new","Tiger","Beaver","t8","t6","t8","left","5","false",8934,1,"t8",4.46027397260274
"418","8","180921_3_nov","4","novelty new","Pig","Beaver","t5","t11","t11","right","6","true",8436,1,"t11",4.46027397260274
"419","9","180921_3_nov","4","novelty new","Bunny","Cat","t1","t2","t1","left","7","true",8549,1,"t1",4.46027397260274
"420","10","180921_3_nov","4","novelty new","Monkey",NA,"t15","t17","t15","right","8","false",8099,0,"t17",4.46027397260274
"421","1","180921_4_nov","2","novelty new","Elephant","Beaver","car","bear","car","left","train","false",8724,1,"car",2.33972602739726
"422","2","180921_4_nov","2","novelty new","Pig","Beaver","duck","ball","ball","right","train","false",10423,1,"ball",2.33972602739726
"423","3","180921_4_nov","2","novelty new","Dog","Beaver","t12","t1","t1","right","1","true",16698,1,"t1",2.33972602739726
"424","4","180921_4_nov","2","novelty new","Bunny","Cat","t17","t3","t3","right","2","false",16425,1,"t3",2.33972602739726
"425","5","180921_4_nov","2","novelty new","Frog","Cat","t2","t5","t5","left","3","true",13328,0,"t2",2.33972602739726
"426","6","180921_4_nov","2","novelty new","Elephant","Sheep","t15","t4","t4","left","4","false",8729,0,"t15",2.33972602739726
"427","7","180921_4_nov","2","novelty new","Bear","Sheep","t8","t11","t11","left","5","true",8683,0,"t8",2.33972602739726
"428","8","180921_4_nov","2","novelty new","Pig","Tiger","t16","t10","t10","right","6","false",15394,1,"t10",2.33972602739726
"429","9","180921_4_nov","2","novelty new","Monkey","Tiger","t9","t6","t6","right","7","false",13717,1,"t6",2.33972602739726
"430","10","180921_4_nov","2","novelty new","Mouse","Tiger","t14","t7","t14","left","8","true",16683,1,"t14",2.33972602739726
"431","1","180921_5_nov","2","novelty new","Elephant","Sheep","car","bear","car","left","train","false",11918,1,"car",2.41369863013699
"432","2","180921_5_nov","2","novelty new","Pig","Sheep","duck","ball","ball","right","train","false",8634,1,"ball",2.41369863013699
"433","3","180921_5_nov","2","novelty new","Elephant","Sheep","t1","t14","t14","left","1","false",12179,0,"t1",2.41369863013699
"434","4","180921_5_nov","2","novelty new","Mouse","Sheep","t10","t16","t16","right","2","true",11654,1,"t16",2.41369863013699
"435","5","180921_5_nov","2","novelty new","Tiger","Bear","t8","t4","t4","left","3","true",9611,0,"t8",2.41369863013699
"436","6","180921_5_nov","2","novelty new","Cat","Pig","t6","t12","t12","left","4","false",12878,0,"t6",2.41369863013699
"437","7","180921_5_nov","2","novelty new","Frog","Pig","t7","t5","t5","right","5","false",13066,1,"t5",2.41369863013699
"438","8","180921_5_nov","2","novelty new","Dog","Pig","t15","t11","t11","right","6","true",9766,1,"t11",2.41369863013699
"439","9","180921_5_nov","2","novelty new","Bunny","Beaver","t3","t2","t2","right","7","false",9778,1,"t2",2.41369863013699
"440","10","180921_5_nov","2","novelty new","Monkey","Beaver","t9","t17","t17","left","8","true",11483,0,"t9",2.41369863013699
