experiment,id,age_bin,age_num,minage,trial,correct
child_ex1,180912_14_inf,4,4.836415525114155,3.003538812785388,1,1
child_ex1,180912_14_inf,4,4.836415525114155,3.003538812785388,2,1
child_ex1,180912_14_inf,4,4.836415525114155,3.003538812785388,3,1
child_ex1,180912_14_inf,4,4.836415525114155,3.003538812785388,4,1
child_ex1,180912_14_inf,4,4.836415525114155,3.003538812785388,5,1
child_ex1,180912_14_inf,4,4.836415525114155,3.003538812785388,6,0
child_ex1,101018_1_inf,4,4.967922374429223,3.003538812785388,1,0
child_ex1,101018_1_inf,4,4.967922374429223,3.003538812785388,2,1
child_ex1,101018_1_inf,4,4.967922374429223,3.003538812785388,3,1
child_ex1,101018_1_inf,4,4.967922374429223,3.003538812785388,4,1
child_ex1,101018_1_inf,4,4.967922374429223,3.003538812785388,5,1
child_ex1,101018_1_inf,4,4.967922374429223,3.003538812785388,6,1
child_ex1,181010_2_inf,3,3.266552511415525,3.003538812785388,1,0
child_ex1,181010_2_inf,3,3.266552511415525,3.003538812785388,2,0
child_ex1,181010_2_inf,3,3.266552511415525,3.003538812785388,3,1
child_ex1,181010_2_inf,3,3.266552511415525,3.003538812785388,4,0
child_ex1,181010_2_inf,3,3.266552511415525,3.003538812785388,5,1
child_ex1,181010_2_inf,3,3.266552511415525,3.003538812785388,6,0
child_ex1,181010_3_inf,3,3.4638127853881278,3.003538812785388,1,0
child_ex1,181010_3_inf,3,3.4638127853881278,3.003538812785388,2,0
child_ex1,181010_3_inf,3,3.4638127853881278,3.003538812785388,3,1
child_ex1,181010_3_inf,3,3.4638127853881278,3.003538812785388,4,0
child_ex1,181010_3_inf,3,3.4638127853881278,3.003538812785388,5,1
child_ex1,181010_3_inf,3,3.4638127853881278,3.003538812785388,6,1
child_ex1,181010_4_inf,3,3.556963470319635,3.003538812785388,1,1
child_ex1,181010_4_inf,3,3.556963470319635,3.003538812785388,2,1
child_ex1,181010_4_inf,3,3.556963470319635,3.003538812785388,3,0
child_ex1,181010_4_inf,3,3.556963470319635,3.003538812785388,4,1
child_ex1,181010_4_inf,3,3.556963470319635,3.003538812785388,5,1
child_ex1,181010_4_inf,3,3.556963470319635,3.003538812785388,6,0
child_ex1,181010_6_inf,3,3.562442922374429,3.003538812785388,1,0
child_ex1,181010_6_inf,3,3.562442922374429,3.003538812785388,2,1
child_ex1,181010_6_inf,3,3.562442922374429,3.003538812785388,3,0
child_ex1,181010_6_inf,3,3.562442922374429,3.003538812785388,4,1
child_ex1,181010_6_inf,3,3.562442922374429,3.003538812785388,5,1
child_ex1,181010_6_inf,3,3.562442922374429,3.003538812785388,6,1
child_ex1,181010_10_inf,4,4.398059360730594,3.003538812785388,1,1
child_ex1,181010_10_inf,4,4.398059360730594,3.003538812785388,2,0
child_ex1,181010_10_inf,4,4.398059360730594,3.003538812785388,3,1
child_ex1,181010_10_inf,4,4.398059360730594,3.003538812785388,4,1
child_ex1,181010_10_inf,4,4.398059360730594,3.003538812785388,5,0
child_ex1,181010_10_inf,4,4.398059360730594,3.003538812785388,6,1
child_ex1,181010_13_inf,4,4.326826484018265,3.003538812785388,1,1
child_ex1,181010_13_inf,4,4.326826484018265,3.003538812785388,2,1
child_ex1,181010_13_inf,4,4.326826484018265,3.003538812785388,3,0
child_ex1,181010_13_inf,4,4.326826484018265,3.003538812785388,4,0
child_ex1,181010_13_inf,4,4.326826484018265,3.003538812785388,5,1
child_ex1,181010_13_inf,4,4.326826484018265,3.003538812785388,6,1
child_ex1,181010_13_inf,4,4.326826484018265,3.003538812785388,1,1
child_ex1,181010_13_inf,4,4.326826484018265,3.003538812785388,2,1
child_ex1,181010_13_inf,4,4.326826484018265,3.003538812785388,3,0
child_ex1,181010_13_inf,4,4.326826484018265,3.003538812785388,4,0
child_ex1,181010_13_inf,4,4.326826484018265,3.003538812785388,5,1
child_ex1,181010_13_inf,4,4.326826484018265,3.003538812785388,6,1
child_ex1,181017_1_inf,4,4.159703196347032,3.003538812785388,1,1
child_ex1,181017_1_inf,4,4.159703196347032,3.003538812785388,2,1
child_ex1,181017_1_inf,4,4.159703196347032,3.003538812785388,3,1
child_ex1,181017_1_inf,4,4.159703196347032,3.003538812785388,4,1
child_ex1,181017_1_inf,4,4.159703196347032,3.003538812785388,5,0
child_ex1,181017_1_inf,4,4.159703196347032,3.003538812785388,6,0
child_ex1,181017_4_inf,3,3.647374429223744,3.003538812785388,1,1
child_ex1,181017_4_inf,3,3.647374429223744,3.003538812785388,2,0
child_ex1,181017_4_inf,3,3.647374429223744,3.003538812785388,3,0
child_ex1,181017_4_inf,3,3.647374429223744,3.003538812785388,4,0
child_ex1,181017_4_inf,3,3.647374429223744,3.003538812785388,5,0
child_ex1,181017_4_inf,3,3.647374429223744,3.003538812785388,6,0
child_ex1,181019_3_inf,3,3.674771689497717,3.003538812785388,1,0
child_ex1,181019_3_inf,3,3.674771689497717,3.003538812785388,2,1
child_ex1,181019_3_inf,3,3.674771689497717,3.003538812785388,3,0
child_ex1,181019_3_inf,3,3.674771689497717,3.003538812785388,4,1
child_ex1,181019_3_inf,3,3.674771689497717,3.003538812785388,5,1
child_ex1,181019_3_inf,3,3.674771689497717,3.003538812785388,6,0
child_ex1,181019_5_inf,3,3.3898401826484017,3.003538812785388,1,1
child_ex1,181019_5_inf,3,3.3898401826484017,3.003538812785388,2,0
child_ex1,181019_5_inf,3,3.3898401826484017,3.003538812785388,3,0
child_ex1,181019_5_inf,3,3.3898401826484017,3.003538812785388,4,1
