experiment,id,trial,common_ground_manipulation,prior_manipulation,speaker,alignment,agent,correct_inf
adult_ex4,1ad0a484ee314fb4b1fc0bd61c6f1eb2,2,novelty,strong,same_speaker,incongruent,Frog,1
adult_ex4,1ad0a484ee314fb4b1fc0bd61c6f1eb2,3,novelty,strong,same_speaker,congruent,Dog,0
adult_ex4,1ad0a484ee314fb4b1fc0bd61c6f1eb2,4,novelty,strong,different_speaker,incongruent,Beaver,1
adult_ex4,1ad0a484ee314fb4b1fc0bd61c6f1eb2,5,novelty,strong,different_speaker,incongruent,Cat,1
adult_ex4,1ad0a484ee314fb4b1fc0bd61c6f1eb2,6,novelty,strong,different_speaker,congruent,Monkey,1
adult_ex4,1ad0a484ee314fb4b1fc0bd61c6f1eb2,7,novelty,strong,same_speaker,incongruent,Pig,1
adult_ex4,1ad0a484ee314fb4b1fc0bd61c6f1eb2,8,novelty,strong,different_speaker,congruent,Elephant,0
adult_ex4,23c8142fe266a43bee9166b2f3c982de,1,novelty,strong,different_speaker,congruent,Beaver,1
adult_ex4,23c8142fe266a43bee9166b2f3c982de,2,novelty,strong,different_speaker,incongruent,Dog,1
adult_ex4,23c8142fe266a43bee9166b2f3c982de,3,novelty,strong,different_speaker,congruent,Sheep,1
adult_ex4,23c8142fe266a43bee9166b2f3c982de,4,novelty,strong,same_speaker,incongruent,Frog,0
adult_ex4,23c8142fe266a43bee9166b2f3c982de,5,novelty,strong,same_speaker,congruent,Monkey,1
adult_ex4,23c8142fe266a43bee9166b2f3c982de,6,novelty,strong,same_speaker,congruent,Tiger,1
adult_ex4,23c8142fe266a43bee9166b2f3c982de,7,novelty,strong,same_speaker,incongruent,Bunny,0
adult_ex4,23c8142fe266a43bee9166b2f3c982de,8,novelty,strong,different_speaker,incongruent,Bear,1
adult_ex4,25fe5abb7fd061d100429c27ce79efa9,1,novelty,strong,different_speaker,congruent,Pig,0
adult_ex4,25fe5abb7fd061d100429c27ce79efa9,2,novelty,strong,same_speaker,incongruent,Dog,1
adult_ex4,25fe5abb7fd061d100429c27ce79efa9,3,novelty,strong,different_speaker,incongruent,Cat,1
adult_ex4,25fe5abb7fd061d100429c27ce79efa9,4,novelty,strong,same_speaker,congruent,Frog,0
adult_ex4,25fe5abb7fd061d100429c27ce79efa9,5,novelty,strong,different_speaker,incongruent,Elephant,1
adult_ex4,25fe5abb7fd061d100429c27ce79efa9,6,novelty,strong,same_speaker,congruent,Bear,0
adult_ex4,25fe5abb7fd061d100429c27ce79efa9,7,novelty,strong,same_speaker,incongruent,Bunny,1
adult_ex4,25fe5abb7fd061d100429c27ce79efa9,8,novelty,strong,different_speaker,congruent,Sheep,0
adult_ex4,2dbed3914644244215720b8fe6999945,1,novelty,strong,same_speaker,incongruent,Mouse,0
adult_ex4,2dbed3914644244215720b8fe6999945,2,novelty,strong,different_speaker,congruent,Tiger,1
adult_ex4,2dbed3914644244215720b8fe6999945,3,novelty,strong,different_speaker,incongruent,Beaver,1
adult_ex4,2dbed3914644244215720b8fe6999945,4,novelty,strong,different_speaker,incongruent,Elephant,1
adult_ex4,2dbed3914644244215720b8fe6999945,5,novelty,strong,same_speaker,congruent,Monkey,1
adult_ex4,2dbed3914644244215720b8fe6999945,6,novelty,strong,different_speaker,congruent,Sheep,1
adult_ex4,2dbed3914644244215720b8fe6999945,7,novelty,strong,same_speaker,congruent,Pig,1
adult_ex4,2dbed3914644244215720b8fe6999945,8,novelty,strong,same_speaker,incongruent,Bear,0
adult_ex4,2e0e2a42f837e6baa539491abe817a8b,1,novelty,strong,different_speaker,incongruent,Mouse,1
adult_ex4,2e0e2a42f837e6baa539491abe817a8b,2,novelty,strong,same_speaker,incongruent,Pig,0
adult_ex4,2e0e2a42f837e6baa539491abe817a8b,3,novelty,strong,different_speaker,congruent,Cat,0
adult_ex4,2e0e2a42f837e6baa539491abe817a8b,4,novelty,strong,different_speaker,congruent,Dog,1
adult_ex4,2e0e2a42f837e6baa539491abe817a8b,5,novelty,strong,same_speaker,congruent,Frog,1
adult_ex4,2e0e2a42f837e6baa539491abe817a8b,6,novelty,strong,same_speaker,congruent,Monkey,0
adult_ex4,2e0e2a42f837e6baa539491abe817a8b,7,novelty,strong,different_speaker,incongruent,Sheep,1
adult_ex4,2e0e2a42f837e6baa539491abe817a8b,8,novelty,strong,same_speaker,incongruent,Tiger,1
adult_ex4,2f6ac1acd03ab9e6ad7d5fea8a1fd67f,1,novelty,strong,same_speaker,congruent,Mouse,1
adult_ex4,2f6ac1acd03ab9e6ad7d5fea8a1fd67f,2,novelty,strong,different_speaker,congruent,Pig,1
adult_ex4,2f6ac1acd03ab9e6ad7d5fea8a1fd67f,3,novelty,strong,same_speaker,incongruent,Frog,0
adult_ex4,2f6ac1acd03ab9e6ad7d5fea8a1fd67f,4,novelty,strong,different_speaker,incongruent,Bear,0
adult_ex4,2f6ac1acd03ab9e6ad7d5fea8a1fd67f,5,novelty,strong,different_speaker,congruent,Beaver,0
adult_ex4,2f6ac1acd03ab9e6ad7d5fea8a1fd67f,6,novelty,strong,same_speaker,incongruent,Bunny,0
adult_ex4,2f6ac1acd03ab9e6ad7d5fea8a1fd67f,7,novelty,strong,same_speaker,congruent,Dog,1
adult_ex4,2f6ac1acd03ab9e6ad7d5fea8a1fd67f,8,novelty,strong,different_speaker,incongruent,Cat,0
adult_ex4,301e0a583c44317106ccc21d037942c0,1,novelty,strong,same_speaker,congruent,Beaver,1
adult_ex4,301e0a583c44317106ccc21d037942c0,2,novelty,strong,different_speaker,congruent,Pig,1
adult_ex4,301e0a583c44317106ccc21d037942c0,3,novelty,strong,same_speaker,incongruent,Cat,1
adult_ex4,301e0a583c44317106ccc21d037942c0,4,novelty,strong,different_speaker,incongruent,Bunny,1
adult_ex4,301e0a583c44317106ccc21d037942c0,5,novelty,strong,different_speaker,incongruent,Mouse,1
adult_ex4,301e0a583c44317106ccc21d037942c0,6,novelty,strong,same_speaker,incongruent,Sheep,1
