"","alltrial","subid","age","condition","agent","leftObject","rightObject","targetOnTable","pick","target","trial","control","rt","correct","targetObj","age_num"
"324","4","180727_1_inf","4","informativeness","Bunny","t11","t6","outer","t11","left","2","false",11547,1,"t11",4.71232876712329
"325","5","180727_1_inf","4","informativeness","Elephant","t16","t5","outer","t5","right","3","true",12484,1,"t5",4.71232876712329
"326","6","180727_1_inf","4","informativeness","Pig","t1","t9","outer","t1","right","4","false",11133,0,"t9",4.71232876712329
"327","7","180727_1_inf","4","informativeness","Tiger","t3","t14","inner","t14","left","5","false",11250,0,"t3",4.71232876712329
"328","8","180727_1_inf","4","informativeness","Monkey","t17","t8","outer","t8","left","6","true",10707,0,"t17",4.71232876712329
"329","9","180727_1_inf","4","informativeness","Bear","t12","t7","outer","t7","left","7","true",11026,0,"t12",4.71232876712329
"330","10","180727_1_inf","4","informativeness","Frog","t10","t4","outer","t10","right","8","false",11483,0,"t4",4.71232876712329
"331","1","180727_3_inf","4","informativeness","Elephant","car","bear","inner","car","left","train","false",12450,1,"car",4.25479452054795
"332","2","180727_3_inf","4","informativeness","Pig","duck","ball","outer","ball","right","train","false",8580,1,"ball",4.25479452054795
"333","3","180727_3_inf","4","informativeness","Frog","t7","t2","inner","t2","right","1","true",11938,1,"t2",4.25479452054795
"334","4","180727_3_inf","4","informativeness","Pig","t11","t10","inner","t11","left","2","false",9461,1,"t11",4.25479452054795
"335","5","180727_3_inf","4","informativeness","Dog","t8","t14","outer","t14","left","3","false",9214,0,"t8",4.25479452054795
"336","6","180727_3_inf","4","informativeness","Tiger","t5","t15","outer","t15","left","4","true",8993,0,"t5",4.25479452054795
"337","7","180727_3_inf","4","informativeness","Cat","t6","t4","inner","t4","right","5","false",8228,1,"t4",4.25479452054795
"338","8","180727_3_inf","4","informativeness","Sheep","t9","t3","inner","t3","right","6","true",8245,1,"t3",4.25479452054795
"339","9","180727_3_inf","4","informativeness","Bear","t16","t12","inner","t12","right","7","false",9874,1,"t12",4.25479452054795
"340","10","180727_3_inf","4","informativeness","Bunny","t17","t1","outer","t1","left","8","true",9003,0,"t17",4.25479452054795
"341","1","180727_5_inf","2","informativeness","Elephant","car","bear","inner","bear","left","train","false",13714,0,"car",2.63013698630137
"342","2","180727_5_inf","2","informativeness","Pig","duck","ball","outer","ball","right","train","false",12585,1,"ball",2.63013698630137
"343","3","180727_5_inf","2","informativeness","Cat","t6","t12","inner","t6","left","1","true",36782,1,"t6",2.63013698630137
"344","4","180727_5_inf","2","informativeness","Beaver","t3","t7","outer","t7","left","2","false",12021,0,"t3",2.63013698630137
"345","5","180727_5_inf","2","informativeness","Bear","t16","t4","outer","t4","left","3","true",13898,0,"t16",2.63013698630137
"346","6","180727_5_inf","2","informativeness","Sheep","t2","t10","outer","t2","right","4","false",19003,0,"t10",2.63013698630137
"347","7","180727_5_inf","2","informativeness","Tiger","t14","t8","inner","t14","left","5","false",22619,1,"t14",2.63013698630137
"348","8","180727_5_inf","2","informativeness","Pig","t5","t9","inner","t9","right","6","true",18033,1,"t9",2.63013698630137
"349","9","180727_5_inf","2","informativeness","Dog","t1","t11","inner","t11","right","7","false",16432,1,"t11",2.63013698630137
"350","10","180727_5_inf","2","informativeness","Elephant","t15","t17","outer","t15","right","8","true",9330,0,"t17",2.63013698630137
"351","1","180727_6_inf","4","informativeness","Elephant","car","bear","inner","car","left","train","false",11789,1,"car",4.80821917808219
"352","2","180727_6_inf","4","informativeness","Pig","duck","ball","outer","ball","right","train","false",11524,1,"ball",4.80821917808219
"353","3","180727_6_inf","4","informativeness","Sheep","t11","t14","outer","t11","right","1","false",12314,0,"t14",4.80821917808219
"354","4","180727_6_inf","4","informativeness","Beaver","t3","t4","outer","t3","right","2","true",13713,0,"t4",4.80821917808219
"355","5","180727_6_inf","4","informativeness","Bunny","t1","t15","inner","t15","left","3","true",13111,0,"t1",4.80821917808219
"356","6","180727_6_inf","4","informativeness","Tiger","t6","t5","inner","t6","left","4","false",12977,1,"t6",4.80821917808219
"357","7","180727_6_inf","4","informativeness","Elephant","t7","t2","outer","t2","right","5","false",11125,1,"t2",4.80821917808219
"358","8","180727_6_inf","4","informativeness","Cat","t8","t9","inner","t8","left","6","true",11194,1,"t8",4.80821917808219
"359","9","180727_6_inf","4","informativeness","Monkey","t12","t16","inner","t12","left","7","true",8598,1,"t12",4.80821917808219
"360","10","180727_6_inf","4","informativeness","Dog","t10","t17","outer","t10","right","8","false",10984,0,"t17",4.80821917808219
"361","1","180727_8_inf","4","informativeness","Elephant","car","bear","inner","car","left","train","false",12303,1,"car",4.02191780821918
"362","2","180727_8_inf","4","informativeness","Pig","duck","ball","outer","ball","right","train","false",10526,1,"ball",4.02191780821918
"363","3","180727_8_inf","4","informativeness","Pig","t14","t11","outer","t14","left","1","false",17876,1,"t14",4.02191780821918
"364","4","180727_8_inf","4","informativeness","Beaver","t15","t4","inner","t4","right","2","true",11085,1,"t4",4.02191780821918
"365","5","180727_8_inf","4","informativeness","Elephant","t2","t3","outer","t2","left","3","false",12299,1,"t2",4.02191780821918
"366","6","180727_8_inf","4","informativeness","Frog","t6","t9","outer","t6","right","4","true",14118,0,"t9",4.02191780821918
"367","7","180727_8_inf","4","informativeness","Mouse","t16","t12","outer","t12","left","5","true",13699,0,"t16",4.02191780821918
"368","8","180727_8_inf","4","informativeness","Monkey","t1","t5","outer","t5","left","6","false",12064,0,"t1",4.02191780821918
