experiment,id,trial,common_ground_manipulation,prior_manipulation,speaker,agent,correct
adult_ex4_prior,3b0a39549f87ec0077f0002b5d474bcf,4,novelty,strong,same_speaker,Cat,1
adult_ex4_prior,3b0a39549f87ec0077f0002b5d474bcf,5,novelty,strong,same_speaker,Cat,1
adult_ex4_prior,3b0a39549f87ec0077f0002b5d474bcf,6,novelty,strong,different_speaker,Cat,0
adult_ex4_prior,3ba8c35df86f554b7e47c2ef6afd2edf,1,novelty,strong,same_speaker,Bunny,1
adult_ex4_prior,3ba8c35df86f554b7e47c2ef6afd2edf,2,novelty,strong,different_speaker,Bunny,1
adult_ex4_prior,3ba8c35df86f554b7e47c2ef6afd2edf,3,novelty,strong,different_speaker,Bear,1
adult_ex4_prior,3ba8c35df86f554b7e47c2ef6afd2edf,4,novelty,strong,same_speaker,Frog,1
adult_ex4_prior,3ba8c35df86f554b7e47c2ef6afd2edf,5,novelty,strong,same_speaker,Frog,1
adult_ex4_prior,3ba8c35df86f554b7e47c2ef6afd2edf,6,novelty,strong,different_speaker,Frog,0
adult_ex4_prior,3e7c81a5d03b2740644956eac7b11863,1,novelty,strong,same_speaker,Monkey,1
adult_ex4_prior,3e7c81a5d03b2740644956eac7b11863,2,novelty,strong,different_speaker,Monkey,1
adult_ex4_prior,3e7c81a5d03b2740644956eac7b11863,3,novelty,strong,different_speaker,Cat,1
adult_ex4_prior,3e7c81a5d03b2740644956eac7b11863,4,novelty,strong,same_speaker,Frog,0
adult_ex4_prior,3e7c81a5d03b2740644956eac7b11863,5,novelty,strong,different_speaker,Frog,1
adult_ex4_prior,3e7c81a5d03b2740644956eac7b11863,6,novelty,strong,same_speaker,NA,1
adult_ex4_prior,3f77eeb8e5b1616b361346d5381aacbd,1,novelty,strong,same_speaker,Monkey,1
adult_ex4_prior,3f77eeb8e5b1616b361346d5381aacbd,2,novelty,strong,different_speaker,Monkey,1
adult_ex4_prior,3f77eeb8e5b1616b361346d5381aacbd,3,novelty,strong,different_speaker,Bunny,1
