alltrial,subid,age,condition,agent,altAgent,leftObject,rightObject,pick,target,trial,change,rt,correct,targetObj,age_num,X,trial_type
8,180425_3_pref,4,preference,Elephant,Dog,t2,t11,t2,right,6,true,13442,0,t11,4.98904109589041,NA,test
9,180425_3_pref,4,preference,Frog,Bunny,t17,t16,t16,left,7,true,13841,0,t17,4.98904109589041,NA,test
10,180425_3_pref,4,preference,Tiger,NA,t9,t3,t9,right,8,false,13403,0,t3,4.98904109589041,NA,test
1,180426_1_pref,3,preference,Elephant,Beaver,car,bear,car,left,train,false,18959,1,car,3.87945205479452,NA,train
2,180426_1_pref,3,preference,Pig,Beaver,duck,ball,ball,right,train,false,12073,1,ball,3.87945205479452,NA,train
3,180426_1_pref,3,preference,Mouse,Beaver,t14,t9,t9,left,1,false,22638,0,t14,3.87945205479452,NA,test
4,180426_1_pref,3,preference,Elephant,Beaver,t17,t2,t17,right,2,true,17006,0,t2,3.87945205479452,NA,test
5,180426_1_pref,3,preference,Dog,Bunny,t5,t11,t11,left,3,false,18895,0,t5,3.87945205479452,NA,test
6,180426_1_pref,3,preference,Bear,Bunny,t16,t8,t8,right,4,true,17060,1,t8,3.87945205479452,NA,test
7,180426_1_pref,3,preference,Tiger,Cat,t10,t12,t10,right,5,false,17151,0,t12,3.87945205479452,NA,test
8,180426_1_pref,3,preference,Monkey,Cat,t15,t7,t15,left,6,true,15860,1,t15,3.87945205479452,NA,test
9,180426_1_pref,3,preference,Pig,Sheep,t1,t3,t1,left,7,false,17818,1,t1,3.87945205479452,NA,test
10,180426_1_pref,3,preference,Frog,Sheep,t6,t4,t6,right,8,true,15784,0,t4,3.87945205479452,NA,test
1,180426_2_pref,3,preference,Elephant,Pig,car,bear,car,left,train,false,13463,1,car,3.65205479452055,NA,train
2,180426_2_pref,3,preference,Pig,Pig,duck,ball,ball,right,train,false,10798,1,ball,3.65205479452055,NA,train
3,180426_2_pref,3,preference,Bear,Pig,t10,t1,t10,left,1,false,12254,1,t10,3.65205479452055,NA,test
4,180426_2_pref,3,preference,Elephant,Pig,t16,t7,t7,right,2,true,24519,1,t7,3.65205479452055,NA,test
5,180426_2_pref,3,preference,Sheep,Frog,t14,t15,t15,left,3,true,13684,0,t14,3.65205479452055,NA,test
6,180426_2_pref,3,preference,Bunny,Mouse,t11,t2,t11,left,4,false,14735,1,t11,3.65205479452055,NA,test
7,180426_2_pref,3,preference,Tiger,Mouse,t12,t8,t8,right,5,false,14731,1,t8,3.65205479452055,NA,test
8,180426_2_pref,3,preference,Cat,Mouse,t3,t6,t3,right,6,true,15471,0,t6,3.65205479452055,NA,test
9,180426_2_pref,3,preference,Beaver,Dog,t17,t5,t5,right,7,false,16750,1,t5,3.65205479452055,NA,test
10,180426_2_pref,3,preference,Monkey,Dog,t9,t4,t9,left,8,true,14963,1,t9,3.65205479452055,NA,test
1,180426_4_pref,3,preference,Elephant,Bunny,car,bear,car,left,train,false,12946,1,car,3.58904109589041,NA,train
2,180426_4_pref,3,preference,Pig,Bunny,duck,ball,ball,right,train,false,10912,1,ball,3.58904109589041,NA,train
3,180426_4_pref,3,preference,Beaver,Bunny,t3,t6,t6,left,1,true,14057,0,t3,3.58904109589041,NA,test
4,180426_4_pref,3,preference,Elephant,Bear,t9,t16,t16,right,2,false,17090,1,t16,3.58904109589041,NA,test
5,180426_4_pref,3,preference,Frog,Bear,t15,t5,t5,right,3,true,15090,1,t5,3.58904109589041,NA,test
6,180426_4_pref,3,preference,Cat,Mouse,t7,t8,t8,right,4,false,18462,1,t8,3.58904109589041,NA,test
7,180426_4_pref,3,preference,Dog,Mouse,t4,t17,t4,left,5,true,15924,1,t4,3.58904109589041,NA,test
8,180426_4_pref,3,preference,Sheep,Pig,t10,t2,t10,left,6,false,13741,1,t10,3.58904109589041,NA,test
9,180426_4_pref,3,preference,Tiger,Pig,t12,t1,t12,left,7,true,16543,1,t12,3.58904109589041,NA,test
10,180426_4_pref,3,preference,Monkey,NA,t11,t14,t11,right,8,false,15095,0,t14,3.58904109589041,NA,test
1,180426_5_pref,3,preference,Elephant,Mouse,car,bear,car,left,train,false,16743,1,car,3.85479452054795,NA,train
2,180426_5_pref,3,preference,Pig,Mouse,duck,ball,ball,right,train,false,10533,1,ball,3.85479452054795,NA,train
3,180426_5_pref,3,preference,Elephant,Mouse,t6,t1,t6,left,1,false,14819,1,t6,3.85479452054795,NA,test
4,180426_5_pref,3,preference,Beaver,Mouse,t7,t5,t5,left,2,true,16109,0,t7,3.85479452054795,NA,test
5,180426_5_pref,3,preference,Monkey,Dog,t8,t2,t2,right,3,false,14473,1,t2,3.85479452054795,NA,test
6,180426_5_pref,3,preference,Tiger,Dog,t4,t9,t9,left,4,true,13480,0,t4,3.85479452054795,NA,test
7,180426_5_pref,3,preference,Pig,Frog,t3,t11,t11,right,5,true,18753,1,t11,3.85479452054795,NA,test
8,180426_5_pref,3,preference,Cat,Bear,t15,t14,t15,left,6,false,15306,1,t15,3.85479452054795,NA,test
9,180426_5_pref,3,preference,Sheep,Bear,t16,t10,t16,right,7,true,14269,0,t10,3.85479452054795,NA,test
10,180426_5_pref,3,preference,Bunny,NA,t12,t17,t12,right,8,false,14011,0,t17,3.85479452054795,NA,test
1,180502_2_pref,3,preference,Elephant,Bunny,car,bear,car,left,train,false,12290,1,car,3.35342465753425,NA,train
2,180502_2_pref,3,preference,Pig,Bunny,duck,ball,ball,right,train,false,9949,1,ball,3.35342465753425,NA,train
3,180502_2_pref,3,preference,Dog,Bunny,t1,t16,t1,left,1,true,17780,1,t1,3.35342465753425,NA,test
4,180502_2_pref,3,preference,Tiger,Pig,t2,t17,t17,right,2,false,14347,1,t17,3.35342465753425,NA,test
5,180502_2_pref,3,preference,Cat,Pig,t7,t8,t7,left,3,true,14047,1,t7,3.35342465753425,NA,test
6,180502_2_pref,3,preference,Sheep,Mouse,t3,t14,t14,right,4,false,13342,1,t14,3.35342465753425,NA,test
7,180502_2_pref,3,preference,Beaver,Mouse,t12,t11,t12,left,5,false,13266,1,t12,3.35342465753425,NA,test
8,180502_2_pref,3,preference,Elephant,Mouse,t5,t4,t4,right,6,true,16378,1,t4,3.35342465753425,NA,test
9,180502_2_pref,3,preference,Monkey,Bear,t15,t10,t10,left,7,true,12864,0,t15,3.35342465753425,NA,test
10,180502_2_pref,3,preference,Frog,NA,t6,t9,t9,right,8,false,13591,1,t9,3.35342465753425,NA,test
1,180503_3_pref,2,preference,Elephant,Elephant,car,bear,car,left,train,false,11313,1,car,2.65479452054795,NA,train
2,180503_3_pref,2,preference,Pig,Elephant,duck,ball,ball,right,train,false,11081,1,ball,2.65479452054795,NA,train
3,180503_3_pref,2,preference,Sheep,Elephant,t12,t15,t15,left,1,false,12745,0,t12,2.65479452054795,NA,test
4,180503_3_pref,2,preference,Dog,Elephant,t14,t6,t14,right,2,true,13152,0,t6,2.65479452054795,NA,test
5,180503_3_pref,2,preference,Bunny,Pig,t2,t8,t8,left,3,false,18351,0,t2,2.65479452054795,NA,test
6,180503_3_pref,2,preference,Tiger,Pig,t11,t3,t11,right,4,true,13403,0,t3,2.65479452054795,NA,test
7,180503_3_pref,2,preference,Cat,Frog,t9,t5,t5,left,5,true,14051,0,t9,2.65479452054795,NA,test
8,180503_3_pref,2,preference,Bear,Beaver,t16,t4,t4,left,6,false,12712,0,t16,2.65479452054795,NA,test
9,180503_3_pref,2,preference,Mouse,Beaver,t17,t10,t17,right,7,false,17318,0,t10,2.65479452054795,NA,test
10,180503_3_pref,2,preference,Monkey,Beaver,t1,t7,t1,right,8,true,10182,0,t7,2.65479452054795,NA,test
1,180503_4_pref,3,preference,Elephant,Dog,car,bear,car,left,train,false,10970,1,car,3.10684931506849,NA,train
2,180503_4_pref,3,preference,Pig,Dog,duck,ball,ball,right,train,false,10232,1,ball,3.10684931506849,NA,train
3,180503_4_pref,3,preference,Monkey,Dog,t11,t6,t6,left,1,true,14992,0,t11,3.10684931506849,NA,test
4,180503_4_pref,3,preference,Mouse,Elephant,t15,t9,t9,left,2,false,13298,0,t15,3.10684931506849,NA,test
5,180503_4_pref,3,preference,Pig,Elephant,t17,t12,t12,right,3,false,14349,1,t12,3.10684931506849,NA,test
6,180503_4_pref,3,preference,Tiger,Elephant,t8,t16,t8,right,4,true,15148,0,t16,3.10684931506849,NA,test
7,180503_4_pref,3,preference,Cat,Bear,t7,t10,t7,right,5,true,13315,0,t10,3.10684931506849,NA,test
8,180503_4_pref,3,preference,Beaver,Sheep,t14,t2,t2,left,6,false,13390,0,t14,3.10684931506849,NA,test
9,180503_4_pref,3,preference,Frog,Sheep,t3,t5,t5,right,7,false,14488,1,t5,3.10684931506849,NA,test
10,180503_4_pref,3,preference,Bunny,Sheep,t1,t4,t4,left,8,true,19238,0,t1,3.10684931506849,NA,test
1,180504_2_pref,3,preference,Elephant,Dog,car,bear,car,left,train,false,11347,1,car,3.62465753424658,NA,train
2,180504_2_pref,3,preference,Pig,Dog,duck,ball,ball,right,train,false,11661,1,ball,3.62465753424658,NA,train
3,180504_2_pref,3,preference,Bear,Dog,t14,t2,t14,left,1,false,12647,1,t14,3.62465753424658,NA,test
4,180504_2_pref,3,preference,Mouse,Dog,t16,t10,t16,left,2,true,16788,1,t16,3.62465753424658,NA,test
5,180504_2_pref,3,preference,Elephant,Cat,t4,t1,t4,right,3,false,17466,0,t1,3.62465753424658,NA,test
6,180504_2_pref,3,preference,Beaver,Cat,t5,t11,t5,left,4,true,13753,1,t5,3.62465753424658,NA,test
7,180504_2_pref,3,preference,Sheep,Monkey,t7,t9,t9,right,5,false,13286,1,t9,3.62465753424658,NA,test
8,180504_2_pref,3,preference,Frog,Monkey,t6,t3,t3,right,6,true,14427,1,t3,3.62465753424658,NA,test
9,180504_2_pref,3,preference,Bunny,Pig,t8,t17,t17,right,7,true,13844,1,t17,3.62465753424658,NA,test
10,180504_2_pref,3,preference,Tiger,NA,t15,t12,t15,left,8,false,13835,1,t15,3.62465753424658,NA,test
1,180511_1b_pref,4,preference,Elephant,Frog,car,bear,car,left,train,false,13748,1,car,4.86027397260274,NA,train
2,180511_1b_pref,4,preference,Pig,Frog,duck,ball,ball,right,train,false,9997,1,ball,4.86027397260274,NA,train
3,180511_1b_pref,4,preference,Beaver,Frog,t15,t14,t15,right,1,true,19173,0,t14,4.86027397260274,NA,test
4,180511_1b_pref,4,preference,Mouse,Pig,t9,t7,t7,right,2,false,10168,1,t7,4.86027397260274,NA,test
5,180511_1b_pref,4,preference,Cat,Pig,t12,t8,t12,left,3,true,12957,1,t12,4.86027397260274,NA,test
6,180511_1b_pref,4,preference,Sheep,Dog,t16,t6,t6,right,4,false,13154,1,t6,4.86027397260274,NA,test
7,180511_1b_pref,4,preference,Bunny,Dog,t10,t5,t5,right,5,true,13534,1,t5,4.86027397260274,NA,test
8,180511_1b_pref,4,preference,Tiger,Elephant,t11,t3,t3,left,6,false,13549,0,t11,4.86027397260274,NA,test
9,180511_1b_pref,4,preference,Monkey,Elephant,t17,t4,t17,left,7,true,8680,1,t17,4.86027397260274,NA,test
10,180511_1b_pref,4,preference,Bear,NA,t2,t1,t2,left,8,false,8716,1,t2,4.86027397260274,NA,test
1,180511_3_pref,4,preference,Elephant,Frog,car,bear,car,left,train,false,14059,1,car,4.54520547945206,NA,train
2,180511_3_pref,4,preference,Pig,Frog,duck,ball,ball,right,train,false,10136,1,ball,4.54520547945206,NA,train
3,180511_3_pref,4,preference,Dog,Frog,t11,t3,t3,right,1,true,23666,1,t3,4.54520547945206,NA,test
4,180511_3_pref,4,preference,Sheep,Mouse,t12,t5,t5,right,2,false,21813,1,t5,4.54520547945206,NA,test
5,180511_3_pref,4,preference,Cat,Mouse,t1,t8,t8,right,3,false,14515,1,t8,4.54520547945206,NA,test
6,180511_3_pref,4,preference,Monkey,Mouse,t14,t17,t17,right,4,true,14850,1,t17,4.54520547945206,NA,test
7,180511_3_pref,4,preference,Beaver,Pig,t16,t9,t9,left,5,true,13847,0,t16,4.54520547945206,NA,test
8,180511_3_pref,4,preference,Tiger,Elephant,t4,t10,t4,left,6,false,13946,1,t4,4.54520547945206,NA,test
9,180511_3_pref,4,preference,Bear,Elephant,t2,t6,t6,left,7,true,14368,0,t2,4.54520547945206,NA,test
10,180511_3_pref,4,preference,Bunny,NA,t15,t7,t15,left,8,false,14341,1,t15,4.54520547945206,NA,test
1,180511_5_pref,3,preference,Elephant,Beaver,car,bear,car,left,train,false,14663,1,car,3.7041095890411,NA,train
2,180511_5_pref,3,preference,Pig,Beaver,duck,ball,ball,right,train,false,10409,1,ball,3.7041095890411,NA,train
3,180511_5_pref,3,preference,Mouse,Beaver,t17,t15,t15,left,1,true,14782,0,t17,3.7041095890411,NA,test
4,180511_5_pref,3,preference,Pig,Monkey,t12,t1,t1,right,2,false,14315,1,t1,3.7041095890411,NA,test
5,180511_5_pref,3,preference,Elephant,Monkey,t4,t11,t4,left,3,true,13745,1,t4,3.7041095890411,NA,test
6,180511_5_pref,3,preference,Bear,Tiger,t2,t5,t2,right,4,false,12484,0,t5,3.7041095890411,NA,test
7,180511_5_pref,3,preference,Dog,Tiger,t3,t9,t3,left,5,true,14191,1,t3,3.7041095890411,NA,test
8,180511_5_pref,3,preference,Frog,Cat,t14,t6,t14,right,6,false,13547,0,t6,3.7041095890411,NA,test
9,180511_5_pref,3,preference,Sheep,Cat,t10,t8,t10,right,7,true,13841,0,t8,3.7041095890411,NA,test
10,180511_5_pref,3,preference,Bunny,NA,t7,t16,t16,left,8,false,13511,0,t7,3.7041095890411,NA,test
1,180718_1_pref,4,preference,Elephant,Bear,car,bear,car,left,train,false,11486,1,car,4.55890410958904,NA,train
2,180718_1_pref,4,preference,Pig,Bear,duck,ball,ball,right,train,false,8414,1,ball,4.55890410958904,NA,train
3,180718_1_pref,4,preference,Beaver,Bear,t11,t14,t14,right,1,true,16416,1,t14,4.55890410958904,NA,test
4,180718_1_pref,4,preference,Mouse,Frog,t6,t10,t10,right,2,false,15239,1,t10,4.55890410958904,NA,test
5,180718_1_pref,4,preference,Cat,Frog,t4,t1,t4,left,3,false,12723,1,t4,4.55890410958904,NA,test
6,180718_1_pref,4,preference,Sheep,Frog,t8,t15,t8,right,4,true,16923,0,t15,4.55890410958904,NA,test
7,180718_1_pref,4,preference,Tiger,Dog,t3,t12,t12,left,5,true,13472,0,t3,4.55890410958904,NA,test
8,180718_1_pref,4,preference,Monkey,Elephant,t16,t2,t2,right,6,false,13058,1,t2,4.55890410958904,NA,test
9,180718_1_pref,4,preference,Bunny,Elephant,t7,t9,t7,left,7,false,13876,1,t7,4.55890410958904,NA,test
10,180718_1_pref,4,preference,Pig,Elephant,t5,t17,t17,left,8,true,15674,0,t5,4.55890410958904,NA,test
