experiment,id,trial,common_ground_manipulation,speaker,alignment,agent,correct_inf
adult_ex3,19080bc8778fc2fc8de0c32faf9551a9,7,novelty,same_speaker,congruent,Bunny,1
adult_ex3,19080bc8778fc2fc8de0c32faf9551a9,8,novelty,different_speaker,congruent,Sheep,1
adult_ex3,1d709fa769b53a0ac20669ca4036507d,1,novelty,same_speaker,incongruent,Frog,0
adult_ex3,1d709fa769b53a0ac20669ca4036507d,2,novelty,same_speaker,incongruent,Cat,0
adult_ex3,1d709fa769b53a0ac20669ca4036507d,3,novelty,same_speaker,congruent,Elephant,1
adult_ex3,1d709fa769b53a0ac20669ca4036507d,4,novelty,different_speaker,congruent,Monkey,1
adult_ex3,1d709fa769b53a0ac20669ca4036507d,5,novelty,different_speaker,congruent,Beaver,1
adult_ex3,1d709fa769b53a0ac20669ca4036507d,6,novelty,different_speaker,incongruent,Sheep,1
adult_ex3,1d709fa769b53a0ac20669ca4036507d,7,novelty,different_speaker,incongruent,Mouse,1
adult_ex3,1d709fa769b53a0ac20669ca4036507d,8,novelty,same_speaker,congruent,Dog,1
adult_ex3,1e0acec5e3176eeca85a61e395b0e40b,1,novelty,same_speaker,incongruent,Frog,0
adult_ex3,1e0acec5e3176eeca85a61e395b0e40b,2,novelty,same_speaker,incongruent,Elephant,0
adult_ex3,1e0acec5e3176eeca85a61e395b0e40b,3,novelty,different_speaker,congruent,Sheep,1
adult_ex3,1e0acec5e3176eeca85a61e395b0e40b,4,novelty,same_speaker,congruent,Monkey,1
adult_ex3,1e0acec5e3176eeca85a61e395b0e40b,5,novelty,different_speaker,incongruent,Dog,0
adult_ex3,1e0acec5e3176eeca85a61e395b0e40b,6,novelty,same_speaker,congruent,Tiger,1
adult_ex3,1e0acec5e3176eeca85a61e395b0e40b,7,novelty,different_speaker,congruent,Bear,0
adult_ex3,1e0acec5e3176eeca85a61e395b0e40b,8,novelty,different_speaker,incongruent,Beaver,1
adult_ex3,22b80baea29a089d34e5cdac8f0d2cde,1,novelty,different_speaker,congruent,Bunny,1
adult_ex3,22b80baea29a089d34e5cdac8f0d2cde,2,novelty,same_speaker,incongruent,Frog,1
adult_ex3,22b80baea29a089d34e5cdac8f0d2cde,3,novelty,same_speaker,congruent,Sheep,1
adult_ex3,22b80baea29a089d34e5cdac8f0d2cde,4,novelty,different_speaker,congruent,Dog,1
adult_ex3,22b80baea29a089d34e5cdac8f0d2cde,5,novelty,same_speaker,incongruent,Cat,0
adult_ex3,22b80baea29a089d34e5cdac8f0d2cde,6,novelty,different_speaker,incongruent,Mouse,0
adult_ex3,22b80baea29a089d34e5cdac8f0d2cde,7,novelty,different_speaker,incongruent,Tiger,0
adult_ex3,22b80baea29a089d34e5cdac8f0d2cde,8,novelty,same_speaker,congruent,Beaver,1
adult_ex3,28cabe006d8b44039f19380c412beacc,1,novelty,different_speaker,congruent,Bear,1
adult_ex3,28cabe006d8b44039f19380c412beacc,2,novelty,same_speaker,congruent,Cat,0
adult_ex3,28cabe006d8b44039f19380c412beacc,3,novelty,different_speaker,congruent,Frog,1
adult_ex3,28cabe006d8b44039f19380c412beacc,4,novelty,same_speaker,incongruent,Monkey,0
adult_ex3,28cabe006d8b44039f19380c412beacc,5,novelty,different_speaker,incongruent,Tiger,1
adult_ex3,28cabe006d8b44039f19380c412beacc,6,novelty,same_speaker,incongruent,Dog,1
adult_ex3,28cabe006d8b44039f19380c412beacc,7,novelty,different_speaker,incongruent,Elephant,1
adult_ex3,28cabe006d8b44039f19380c412beacc,8,novelty,same_speaker,congruent,Sheep,1
adult_ex3,30320b6e68052862029e20b2fbdb1173,1,novelty,same_speaker,incongruent,Mouse,0
adult_ex3,30320b6e68052862029e20b2fbdb1173,2,novelty,different_speaker,congruent,Sheep,1
adult_ex3,30320b6e68052862029e20b2fbdb1173,3,novelty,same_speaker,incongruent,Cat,0
adult_ex3,30320b6e68052862029e20b2fbdb1173,4,novelty,different_speaker,incongruent,Bear,0
adult_ex3,30320b6e68052862029e20b2fbdb1173,5,novelty,same_speaker,congruent,Bunny,1
adult_ex3,30320b6e68052862029e20b2fbdb1173,6,novelty,different_speaker,congruent,Beaver,1
adult_ex3,30320b6e68052862029e20b2fbdb1173,7,novelty,same_speaker,congruent,Elephant,1
adult_ex3,30320b6e68052862029e20b2fbdb1173,8,novelty,different_speaker,incongruent,Frog,0
adult_ex3,32b7472daf4c04fc73f3f43e5b60f6b9,1,novelty,same_speaker,incongruent,Cat,1
adult_ex3,32b7472daf4c04fc73f3f43e5b60f6b9,2,novelty,different_speaker,incongruent,Elephant,1
