experiment,id,trial,condition,agent,correct
adult_ex1,anon38_informativeness,2,test,Mouse,0
adult_ex1,anon38_informativeness,3,control,Monkey,0
adult_ex1,anon38_informativeness,4,test,Bear,0
adult_ex1,anon38_informativeness,5,test,Dog,0
adult_ex1,anon38_informativeness,6,control,Bunny,0
adult_ex1,anon39_informativeness,1,control,Frog,0
adult_ex1,anon39_informativeness,2,test,Mouse,1
adult_ex1,anon39_informativeness,3,control,Monkey,0
adult_ex1,anon39_informativeness,4,test,Bunny,1
adult_ex1,anon39_informativeness,5,test,Dog,1
adult_ex1,anon39_informativeness,6,control,Bear,0
adult_ex1,anon4_informativeness,1,control,Monkey,0
adult_ex1,anon4_informativeness,2,test,Frog,0
adult_ex1,anon4_informativeness,3,test,Mouse,1
adult_ex1,anon4_informativeness,4,control,Bear,0
adult_ex1,anon4_informativeness,5,control,Bunny,1
adult_ex1,anon4_informativeness,6,test,Dog,0
adult_ex1,anon5_informativeness,1,control,Dog,1
adult_ex1,anon5_informativeness,2,test,Frog,1
adult_ex1,anon5_informativeness,3,test,Mouse,1
adult_ex1,anon5_informativeness,4,control,Bear,0
adult_ex1,anon5_informativeness,5,control,Cat,1
adult_ex1,anon5_informativeness,6,test,Monkey,1
adult_ex1,anon6_informativeness,1,test,Tiger,0
adult_ex1,anon6_informativeness,2,control,Frog,0
adult_ex1,anon6_informativeness,3,test,Mouse,0
adult_ex1,anon6_informativeness,4,control,Bear,0
adult_ex1,anon6_informativeness,5,control,Bunny,0
adult_ex1,anon6_informativeness,6,test,Monkey,1
adult_ex1,anon7_informativeness,1,control,Bunny,1
adult_ex1,anon7_informativeness,2,test,Frog,0
adult_ex1,anon7_informativeness,3,test,Mouse,1
adult_ex1,anon7_informativeness,4,control,Monkey,1
adult_ex1,anon7_informativeness,5,test,Dog,1
adult_ex1,anon7_informativeness,6,control,Bear,1
adult_ex1,anon8_informativeness,1,control,Mouse,0
adult_ex1,anon8_informativeness,2,test,Monkey,1
adult_ex1,anon8_informativeness,3,control,Cat,0
adult_ex1,anon8_informativeness,4,test,Dog,0
adult_ex1,anon8_informativeness,5,control,Sheep,1
adult_ex1,anon8_informativeness,6,test,Bunny,0
adult_ex1,anon9_informativeness,1,control,Mouse,0
adult_ex1,anon9_informativeness,2,test,Monkey,1
adult_ex1,anon9_informativeness,3,control,Dog,0
adult_ex1,anon9_informativeness,4,test,Bear,1
adult_ex1,anon9_informativeness,5,control,Frog,0
adult_ex1,anon9_informativeness,6,test,Bunny,1
